model,method,main_point_given,main_point_inferred,main_point_error (%),middle_point_given,middle_point_error (%),time
8,SLSQP,[0.03267868 0.06316534 0.00795872],[0.03174187 0.09914967 0.01400977],51.00703343937135,[0.05375633 0.0071886  0.12987749],43.297695347128325,0.1122281551361084
8,SLSQP,[0.01787131 0.1651261  0.23392954],[0.01787142 0.1651265  0.23392911],0.00020817543114613185,[0.03571745 0.12311892 0.05667583],32.00099553361404,0.7939662933349609
8,SLSQP,[0.17656134 0.1938564  0.00383734],[0.17656075 0.19385611 0.0038373 ],0.0002499920386665919,[0.05745571 0.00394901 0.13239774],99.70110178970215,0.3046724796295166
8,SLSQP,[0.11184758 0.13808493 0.20000357],[0.11184747 0.1380848  0.20000354],6.288963018014146e-05,[0.11861945 0.07795252 0.02217666],84.16053364918801,1.091160535812378
8,SLSQP,[0.09977298 0.20446144 0.08175204],[0.09977385 0.20446295 0.0817544 ],0.0012119901702919598,[0.09331062 0.10914677 0.01930941],10.230348983941846,1.0641322135925293
8,SLSQP,[0.16750878 0.14248367 0.18903163],[0.1549652  0.13633363 0.18086182],5.580774506449921,[0.0740027  0.00738397 0.00804492],98.93894483513046,0.13696694374084473
8,SLSQP,[0.00301642 0.0483326  0.22931638],[0.00302251 0.04834769 0.2293204 ],0.007152114142365722,[0.05549289 0.12676637 0.05547062],42.64993698017429,1.0685062408447266
8,SLSQP,[2.93730418e-01 5.61780927e-02 1.98258458e-04],[0.19726913 0.0771785  0.00987936],33.16932884891152,[0.07833228 0.11415298 0.02625726],12.171796820301312,0.12233209609985353
8,SLSQP,[0.0673977  0.18754731 0.18366347],[0.06699142 0.18738475 0.18358168],0.16425793950980233,[0.06688911 0.11215023 0.03602285],35.363654025107515,1.1724331378936768
8,SLSQP,[0.17219936 0.13022728 0.07011816],[0.17219938 0.13022729 0.07011817],8.427651809299911e-06,[0.05116218 0.13867132 0.00446863],9.142152716354044,0.6079373359680176
8,SLSQP,[0.25126771 0.11962267 0.08156667],[0.19641418 0.10605963 0.07094106],19.826362509024545,[0.12595197 0.04625494 0.02377551],40.10970770329792,0.15392374992370605
8,SLSQP,[0.11772394 0.01157613 0.19226442],[0.11772392 0.01157616 0.19226435],3.13251985885007e-05,[0.10519053 0.09535625 0.04423017],48.8607449145715,1.128941774368286
8,SLSQP,[0.246906   0.04322022 0.16046892],[0.18963433 0.04727124 0.14169258],20.296325622265147,[0.01819758 0.10425633 0.02558721],64.05419718897295,0.1254889965057373
8,SLSQP,[0.07422343 0.24132098 0.14051107],[0.07422328 0.24132091 0.14051108],5.670897895907816e-05,[0.07904386 0.08436278 0.07024823],44.315752461798894,0.6530883312225342
8,SLSQP,[0.24967143 0.12870532 0.08766946],[0.19520879 0.11837177 0.08127565],18.963668866223017,[0.06230502 0.0247641  0.02806499],86.49059028908121,0.11563944816589355
8,SLSQP,[0.07830748 0.00501259 0.26704861],[0.07830738 0.00501274 0.26704867],6.812345031108937e-05,[0.10759468 0.08811007 0.04511066],82.98887110670404,0.7396705150604248
8,SLSQP,[0.1878123  0.22098543 0.06224685],[0.16140138 0.20168093 0.06118747],11.034725040478893,[0.00273082 0.05933988 0.11223521],49.224706780012205,0.11327600479125975
8,SLSQP,[0.27334616 0.0429492  0.06868366],[0.1988881  0.04834743 0.07772663],26.376721546301,[0.06327195 0.06948854 0.11270156],19.649180529692238,0.10102605819702147
8,SLSQP,[0.04177154 0.21655728 0.13386175],[0.04177145 0.21655722 0.13386167],4.9788100093177506e-05,[0.08881626 0.0131828  0.01121257],98.6502176844275,0.3190755844116211
8,SLSQP,[0.2359514  0.00358833 0.03587765],[0.18044135 0.04282322 0.02481246],28.853582060489693,[0.06369372 0.10575743 0.00141008],6.325281729083916,0.1856689453125
8,SLSQP,[0.12481367 0.22921681 0.05810792],[0.12481351 0.22921645 0.05810803],0.00015367414098835797,[0.02862697 0.08655585 0.00802059],31.27998834274271,0.5189611911773682
8,SLSQP,[0.14564634 0.12190718 0.17947894],[0.14564628 0.12190776 0.17947878],0.00023282929335550839,[0.02282932 0.00099243 0.08301873],28.035822973142352,0.7391798496246338
8,SLSQP,[0.09151337 0.02024217 0.23573573],[0.09149377 0.02023253 0.23574431],0.00925107368485004,[0.07739029 0.05177143 0.0119045 ],89.05528661776295,1.1101744174957275
8,SLSQP,[0.20386784 0.17728483 0.01316184],[0.18358148 0.16846286 0.01675196],8.285310164702135,[0.04426619 0.09410063 0.07902544],35.16509762699317,0.12323212623596193
8,SLSQP,[0.29599466 0.03174596 0.02577934],[0.19429564 0.0667402  0.01934188],36.058075247711095,[0.04203564 0.14011935 0.00035561],28.638234466380855,0.10846710205078124
8,SLSQP,[0.24899177 0.10727762 0.03853572],[0.19621484 0.09916492 0.04890876],19.86353049029852,[0.05781608 0.07619503 0.08807534],14.956868024532461,0.10727763175964357
8,SLSQP,[0.27241715 0.08094164 0.00368109],[0.19842889 0.08210472 0.00347197],26.036133490831574,[0.14405819 0.03958006 0.00105559],34.536271918624465,0.11240720748901367
8,SLSQP,[0.06145132 0.05902909 0.15025186],[0.06145116 0.05902897 0.15025199],0.0001360409052758911,[0.10292224 0.06931319 0.01986194],99.99874257127895,0.3375091552734375
8,SLSQP,[0.17938183 0.14649343 0.0810884 ],[0.17938139 0.14649331 0.08108845],0.00018683991567005828,[0.08807217 0.00950814 0.09361304],59.88936545782486,0.4400691986083984
8,SLSQP,[0.03617428 0.17415058 0.21848664],[0.03571883 0.17406859 0.21798575],0.2420541284261784,[0.06907317 0.10290818 0.00716212],70.19121360177559,1.0838463306427002
8,SLSQP,[0.12775716 0.05160508 0.07645303],[0.12775728 0.05160512 0.0764529 ],0.00011710287391610398,[0.07605214 0.03760748 0.1213497 ],0.0002199847673937853,0.7777538299560547
8,SLSQP,[0.0635355  0.025647   0.29042917],[0.06266362 0.02557546 0.28778446],0.9335216705411108,[0.04793208 0.07405677 0.05822996],73.0747830778124,0.13570451736450195
8,SLSQP,[0.17158602 0.04503421 0.07428782],[0.17158592 0.0450342  0.0742882 ],0.00020094378554824744,[0.06426407 0.05726516 0.01232757],48.69537814834786,0.6687126159667969
8,SLSQP,[0.12229445 0.22264582 0.12783546],[0.12229374 0.22264534 0.12783493],0.0003527417287968461,[0.05209012 0.09646157 0.01558966],45.53787369213916,0.3078916072845459
